Game ID	Game Duration	Winning Team	Summoner 0 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 1 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 2 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 3 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 4 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 5 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 6 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 7 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 8 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 9 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists
3551355494	1740	200	Sceptalgic	100	Jax	TOP	LOSE	3	4	0	MQ2000	100	Morgana	SUPPORT	LOSE	0	4	3	G2000mime	100	Ashe	ADC	LOSE	1	4	1	Yeliang	100	Anivia	MID	LOSE	1	4	0	Shadow82421	100	Nunu	JUNGLE	LOSE	1	3	3	CondemmedChicken	200	Azir	MID	WIN	3	1	3	YummyRicez	200	Kayn	JUNGLE	WIN	9	1	8	BOB YAAA	200	Nasus	JUNGLE	WIN	3	1	5	Delmar	200	Ezreal	ADC	WIN	4	2	8	Threepointstar	200	Yuumi	SUPPORT	WIN	0	1	13
3549103812	1863	100	G2000mime	100	Annie	MID	WIN	7	3	6	Yeliang	100	JarvanIV	JUNGLE	WIN	6	3	16	Demonclaw	100	Lux	SUPPORT	WIN	5	3	14	CondemmedChicken	100	Urgot	MID	WIN	7	1	2	MQ2000	100	Sivir	ADC	WIN	6	5	11	Sceptalgic	200	Orianna	MID	LOSE	3	7	3	BOB YAAA	200	Nasus	TOP	LOSE	3	6	1	Delmar	200	Sett	JUNGLE	LOSE	1	6	3	Kliyle	200	Caitlyn	ADC	LOSE	3	5	5	Threepointstar	200	Neeko	SUPPORT	LOSE	5	7	3
3546238546	2037	200	G2000mime	100	Caitlyn	ADC	LOSE	2	9	2	CondemmedChicken	100	Mordekaiser	TOP	LOSE	3	5	2	Cure the Living	100	Bard	SUPPORT	LOSE	3	4	5	YummyRicez	100	Amumu	JUNGLE	LOSE	2	4	6	Yeliang	100	Kalista	MID	LOSE	2	8	0	BOB YAAA	200	Ashe	ADC	WIN	3	4	8	Delmar	200	Lucian	MID	WIN	8	2	8	Threepointstar	200	Galio	SUPPORT	WIN	5	3	8	MQ2000	200	Jax	TOP	WIN	4	2	1	Sceptalgic	200	Hecarim	JUNGLE	WIN	10	1	8
3546238934	1790	100	G2000mime	100	Malzahar	MID	WIN	3	6	4	Demonclaw	100	Vayne	ADC	WIN	9	5	7	BOB YAAA	100	Trundle	JUNGLE	WIN	1	4	1	MQ2000	100	Ekko	JUNGLE	WIN	7	2	10	Cure the Living	100	Lulu	SUPPORT	WIN	2	4	14	CondemmedChicken	200	Garen	TOP	LOSE	4	3	3	Threepointstar	200	Velkoz	SUPPORT	LOSE	5	4	7	YummyRicez	200	Annie	MID	LOSE	3	6	5	Sceptalgic	200	Caitlyn	ADC	LOSE	2	4	5	Delmar	200	Volibear	JUNGLE	LOSE	6	5	5
3546239230	1882	100	Sceptalgic	100	Kayn	JUNGLE	WIN	5	1	14	Delmar	100	Diana	MID	WIN	15	4	8	MQ2000	100	Fiora	MID	WIN	7	2	6	YummyRicez	100	Lucian	ADC	WIN	9	3	7	Cure the Living	100	Bard	SUPPORT	WIN	3	4	8	CondemmedChicken	200	Mordekaiser	MID	LOSE	3	12	4	Threepointstar	200	Taric	SUPPORT	LOSE	0	4	12	G2000mime	200	Volibear	JUNGLE	LOSE	1	6	8	Yeliang	200	Lillia	TOP	LOSE	0	13	2	Demonclaw	200	Jinx	ADC	LOSE	10	4	3
3548874106	2312	100	G2000mime	100	Ashe	ADC	WIN	5	4	15	Yeliang	100	AurelionSol	MID	WIN	10	3	10	Sceptalgic	100	Kayn	JUNGLE	WIN	10	0	11	Kliyle	100	Galio	SUPPORT	WIN	2	9	12	YummyRicez	100	Garen	TOP	WIN	4	5	13	CondemmedChicken	200	Azir	MID	LOSE	4	5	4	BOB YAAA	200	Tryndamere	TOP	LOSE	3	7	4	Delmar	200	Lucian	ADC	LOSE	10	6	5	MQ2000	200	Volibear	JUNGLE	LOSE	1	7	8	Demonclaw	200	Blitzcrank	SUPPORT	LOSE	3	6	11
3540189025	1504	100	CondemmedChicken	100	Garen	TOP	WIN	3	1	0	Sceptalgic	100	Orianna	MID	WIN	4	0	10	MQ2000	100	Ekko	JUNGLE	WIN	9	0	7	Delmar	100	Sett	SUPPORT	WIN	3	1	7	YummyRicez	100	Tristana	ADC	WIN	5	3	6	DukeCapone	200	Hecarim	JUNGLE	LOSE	2	7	2	Kliyle	200	Thresh	SUPPORT	LOSE	1	4	1	G2000mime	200	Ashe	ADC	LOSE	1	6	2	Yeliang	200	Udyr	MID	LOSE	0	5	0	Threepointstar	200	Ryze	TOP	LOSE	1	2	0
3540208886	1816	200	CondemmedChicken	100	Azir	TOP	LOSE	3	4	5	Delmar	100	Vi	JUNGLE	LOSE	4	6	6	MQ2000	100	Nautilus	SUPPORT	LOSE	0	9	9	Yeliang	100	DrMundo	TOP	LOSE	4	6	2	Demonclaw	100	Jinx	ADC	LOSE	5	6	0	G2000mime	200	Lucian	ADC	WIN	11	6	11	Sceptalgic	200	Jax	TOP	WIN	1	3	10	Threepointstar	200	Corki	MID	WIN	11	4	7	DukeCapone	200	Volibear	JUNGLE	WIN	4	1	8	Aeternalis1	200	Leona	SUPPORT	WIN	4	2	16
3540558801	1928	100	DukeCapone	100	Ezreal	ADC	WIN	14	3	14	Sceptalgic	100	Olaf	JUNGLE	WIN	15	2	14	CondemmedChicken	100	Urgot	TOP	WIN	5	5	12	Demonclaw	100	Lux	MID	WIN	5	5	13	MQ2000	100	Morgana	SUPPORT	WIN	5	4	27	BOB YAAA	200	Amumu	SUPPORT	LOSE	2	12	8	G2000mime	200	Orianna	ADC	LOSE	0	9	10	Aeternalis1	200	Zac	JUNGLE	LOSE	6	7	6	Delmar	200	Yone	MID	LOSE	3	10	3	Threepointstar	200	Gangplank	TOP	LOSE	8	6	8
3542939245	1778	200	DukeCapone	100	Kindred	MID	LOSE	1	2	4	G2000mime	100	Ashe	ADC	LOSE	3	3	5	CondemmedChicken	100	Blitzcrank	SUPPORT	LOSE	1	8	2	Sceptalgic	100	Elise	JUNGLE	LOSE	4	6	4	MQ2000	100	Darius	TOP	LOSE	6	5	2	BOB YAAA	200	Nasus	TOP	WIN	4	4	2	Kliyle	200	Caitlyn	ADC	WIN	1	2	13	YummyRicez	200	Kayn	JUNGLE	WIN	4	6	8	Threepointstar	200	Ryze	MID	WIN	5	2	1	Delmar	200	Morgana	SUPPORT	WIN	10	1	6
